key,place,geonames_url,gnd_url,lat,lon,source
name:Frankfurt am Main,Frankfurt am Main,https://www.geonames.org/2925533,,50.11552,8.68417,bestand
https://www.geonames.org/2925192,Freiberg,https://www.geonames.org/2925192,,50.91089,13.33881,bestand
name:Freiberg,Freiberg,https://www.geonames.org/2925192,,50.91089,13.33881,bestand
name:Giebichenstein,Giebichenstein,https://www.geonames.org/2920649,,51.50047,11.96067,bestand
https://www.geonames.org/2920649,Giebichenstein,https://www.geonames.org/2920649,,51.50047,11.96067,bestand
name:Gießen,Gießen,https://www.geonames.org/2920512,,50.58727,8.67554,bestand
https://www.geonames.org/2920512,Gießen,https://www.geonames.org/2920512,,50.58727,8.67554,bestand
name:Gnadenfrei,Gnadenfrei,https://www.geonames.org/3089025,,50.68357,16.74359,bestand
https://www.geonames.org/3089025,Gnadenfrei,https://www.geonames.org/3089025,,50.68357,16.74359,bestand
https://d-nb.info/gnd/4021643-3,Goslar,,https://d-nb.info/gnd/4021643-3,51.904249,10.427659,bestand
name:Goslar,Goslar,,https://d-nb.info/gnd/4021643-3,51.904249,10.427659,bestand
name:Gotha,Gotha,https://www.geonames.org/2918752,,50.94823,10.70193,bestand
https://www.geonames.org/2918752,Gotha,https://www.geonames.org/2918752,,50.94823,10.70193,bestand
name:Görlitz,Görlitz,https://www.geonames.org/2918987,,51.15518,14.98853,bestand
https://www.geonames.org/2918987,Görlitz,https://www.geonames.org/2918987,,51.15518,14.98853,bestand
https://www.geonames.org/2918632,Göttingen,https://www.geonames.org/2918632,,51.53443,9.93228,bestand
name:Göttingen,Göttingen,https://www.geonames.org/2918632,,51.53443,9.93228,bestand
name:Halberstadt,Halberstadt,https://www.geonames.org/2911665,,51.89562,11.05622,bestand
https://www.geonames.org/2911665,Halberstadt,https://www.geonames.org/2911665,,51.89562,11.05622,bestand
https://www.geonames.org/2911522,Halle (Saale),https://www.geonames.org/2911522,,51.48158,11.97947,bestand
name:Halle (Saale),Halle (Saale),https://www.geonames.org/2911522,,51.48158,11.97947,bestand
https://www.geonames.org/2911298,Hamburg,https://www.geonames.org/2911298,,53.55073,9.99302,bestand
name:Hamburg,Hamburg,https://www.geonames.org/2911298,,53.55073,9.99302,bestand
https://d-nb.info/gnd/7571874-1,Hamstede/Haamstede,,https://d-nb.info/gnd/7571874-1,51.6974872,3.7433719,bestand
name:Hamstede/Haamstede,Hamstede/Haamstede,,https://d-nb.info/gnd/7571874-1,51.6974872,3.7433719,bestand
name:Hannover,Hannover,https://www.geonames.org/2910831,,52.37052,9.73322,bestand
https://www.geonames.org/2910831,Hannover,https://www.geonames.org/2910831,,52.37052,9.73322,bestand
https://www.geonames.org/2910685,"Harburg, Elbe",https://www.geonames.org/2910685,,53.46057,9.98388,bestand
"name:Harburg, Elbe","Harburg, Elbe",https://www.geonames.org/2910685,,53.46057,9.98388,bestand
name:Heidelberg,Heidelberg,,https://d-nb.info/gnd/4023996-2,49.407679,8.690789,bestand
https://d-nb.info/gnd/4023996-2,Heidelberg,,https://d-nb.info/gnd/4023996-2,49.407679,8.690789,bestand
https://www.geonames.org/507673,Hermsdorf,https://www.geonames.org/507673,,54.43328,20.17492,bestand
name:Hermsdorf,Hermsdorf,https://www.geonames.org/507673,,54.43328,20.17492,bestand
https://www.geonames.org/2895044,Jena,https://www.geonames.org/2895044,,50.92878,11.5899,bestand
