letter_id,place_id,place,gnd,geonames
898,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
898,1524,Pillnitz,https://d-nb.info/gnd/4306696-3,https://www.geonames.org/2853707
899,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
900,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
901,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
902,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
903,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
903,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
903,171,Paris,https://d-nb.info/gnd/4044660-8,https://www.geonames.org/2988507
903,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
