letter_id,Date,Sender,Recipient,Place of Dispatch,Place of Destination,Dispatch_GeoNames,Destination_GeoNames,Dispatch_GND,Destination_GND,Date_When,Date_Text,Date_NotBefore,Date_NotAfter,Note,link
15057,"Donnerstag, 16. August 1792",Dorothea von Schlegel,Carl Gustav von Brinckmann,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/2004272-3,1792-08-16,1792-08-16,,,,https://briefe-der-romantik.de/letters/view/15057?left=text
15058,"Donnerstag, 13. September 1792",Dorothea von Schlegel,Rahel Varnhagen,Strelitz,Berlin,https://www.geonames.org/2825922,https://www.geonames.org/2950159,https://d-nb.info/gnd/10007060-7,https://d-nb.info/gnd/2004272-3,1792-09-13,1792-09-13,,,,https://briefe-der-romantik.de/letters/view/15058?left=text
15059,"Sonntag,  7. April 1793",Friedrich von Schlegel,Novalis,Dresden,Leipzig,https://www.geonames.org/2935022,https://www.geonames.org/2879139,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4035206-7,1793-04-07,1793-04-07,,,,https://briefe-der-romantik.de/letters/view/15059?left=text
15060,Mai 1793,Friedrich von Schlegel,Novalis,Leipzig,Leipzig,https://www.geonames.org/2879139,https://www.geonames.org/2879139,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4035206-7,1793-05-01,Mai 1793,,,,https://briefe-der-romantik.de/letters/view/15060?left=text
15061,Mitte Mai 1793,Friedrich von Schlegel,Novalis,Leipzig,Wittenberg,https://www.geonames.org/2879139,https://www.geonames.org/7303020,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4066640-2,1793-05-11,Mitte Mai 1793,,,,https://briefe-der-romantik.de/letters/view/15061?left=text
15062,Ende Mai 1793,Friedrich von Schlegel,Novalis,Leipzig,Wittenberg,https://www.geonames.org/2879139,https://www.geonames.org/7303020,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4066640-2,1793-05-21,Ende Mai 1793,,,,https://briefe-der-romantik.de/letters/view/15062?left=text
15063,"Donnerstag,  6. Juni 1793",Dorothea von Schlegel,Rahel Varnhagen,Schönhausen (Elbe),Berlin,https://www.geonames.org/6549545,https://www.geonames.org/2950159,,https://d-nb.info/gnd/2004272-3,1793-06-06,1793-06-06,,,,https://briefe-der-romantik.de/letters/view/15063?left=text
15064,"Mittwoch,  3. Juli 1793",Friedrich von Schlegel,Novalis,Leipzig,Wittenberg,https://www.geonames.org/2879139,https://www.geonames.org/7303020,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4066640-2,1793-07-03,1793-07-03,,,,https://briefe-der-romantik.de/letters/view/15064?left=text
15065,Anfang Juli 1793,Friedrich von Schlegel,Caroline von Schelling,Leipzig,Frankfurt am Main,https://www.geonames.org/2879139,https://www.geonames.org/2925533,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4018118-2,1793-07-01,Anfang Juli 1793,,,,https://briefe-der-romantik.de/letters/view/15065?left=text
15066,zweite Julihälfte 1793,Friedrich von Schlegel,Novalis,Leipzig,Wittenberg,https://www.geonames.org/2879139,https://www.geonames.org/7303020,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4066640-2,1793-07-16,zweite Julihälfte 1793,,,,https://briefe-der-romantik.de/letters/view/15066?left=text
15067,"Sonntag,  4. August 1793",Dorothea von Schlegel,Rahel Varnhagen,Schönhausen (Elbe),Berlin,https://www.geonames.org/6549545,https://www.geonames.org/2950159,,https://d-nb.info/gnd/2004272-3,1793-08-04,1793-08-04,,,,https://briefe-der-romantik.de/letters/view/15067?left=text
15068,Anfang August 1793,Friedrich von Schlegel,Novalis,Leipzig,Wittenberg,https://www.geonames.org/2879139,https://www.geonames.org/7303020,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4066640-2,1793-08-01,Anfang August 1793,,,,https://briefe-der-romantik.de/letters/view/15068?left=text
15069,erste Augusthälfte 1793,Novalis,Friedrich von Schlegel,Wittenberg,Leipzig,https://www.geonames.org/7303020,https://www.geonames.org/2879139,https://d-nb.info/gnd/4066640-2,https://d-nb.info/gnd/4035206-7,1793-08-01,erste Augusthälfte 1793,,,,https://briefe-der-romantik.de/letters/view/15069?left=text
15070,Mitte August 1793,Friedrich von Schlegel,Novalis,Leipzig,Wittenberg,https://www.geonames.org/2879139,https://www.geonames.org/7303020,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4066640-2,1793-08-11,Mitte August 1793,,,,https://briefe-der-romantik.de/letters/view/15070?left=text
15071,"Donnerstag, 22. August 1793",Dorothea von Schlegel,Rahel Varnhagen,Schönhausen (Elbe),Berlin,https://www.geonames.org/6549545,https://www.geonames.org/2950159,,https://d-nb.info/gnd/2004272-3,1793-08-22,1793-08-22,,,,https://briefe-der-romantik.de/letters/view/15071?left=text
15072,Ende August 1793,Dorothea von Schlegel,Rahel Varnhagen,Schönhausen (Elbe),Berlin,https://www.geonames.org/6549545,https://www.geonames.org/2950159,,https://d-nb.info/gnd/2004272-3,1793-08-21,Ende August 1793,,,,https://briefe-der-romantik.de/letters/view/15072?left=text
15073,"Dienstag, 20. August 1793",Caroline von Schelling,Friedrich von Schlegel,Lucka,Leipzig,https://www.geonames.org/2875512,https://www.geonames.org/2879139,https://d-nb.info/gnd/4263805-7,https://d-nb.info/gnd/4035206-7,1793-08-20,1793-08-20,,,,https://briefe-der-romantik.de/letters/view/15073?left=text
15074,"Montag, 30. September 1793",Caroline von Schelling,Friedrich von Schlegel,Lucka,Leipzig,https://www.geonames.org/2875512,https://www.geonames.org/2879139,https://d-nb.info/gnd/4263805-7,https://d-nb.info/gnd/4035206-7,1793-09-30,1793-09-30,,,,https://briefe-der-romantik.de/letters/view/15074?left=text
15075,"Sonntag,  6. Oktober 1793",Caroline von Schelling,Friedrich von Schlegel,Lucka,Leipzig,https://www.geonames.org/2875512,https://www.geonames.org/2879139,https://d-nb.info/gnd/4263805-7,https://d-nb.info/gnd/4035206-7,1793-10-06,1793-10-06,,,,https://briefe-der-romantik.de/letters/view/15075?left=text
15076,"Freitag, 11. Oktober 1793",Caroline von Schelling,Friedrich von Schlegel,Lucka,Leipzig,https://www.geonames.org/2875512,https://www.geonames.org/2879139,https://d-nb.info/gnd/4263805-7,https://d-nb.info/gnd/4035206-7,1793-10-11,1793-10-11,,,,https://briefe-der-romantik.de/letters/view/15076?left=text
15077,"Sonntag, 13. Oktober 1793",Caroline von Schelling,Friedrich von Schlegel,Lucka,Leipzig,https://www.geonames.org/2875512,https://www.geonames.org/2879139,https://d-nb.info/gnd/4263805-7,https://d-nb.info/gnd/4035206-7,1793-10-13,1793-10-13,,,,https://briefe-der-romantik.de/letters/view/15077?left=text
15078,zweite Oktoberhälfte 1793,Friedrich von Schlegel,Novalis,Leipzig,Wittenberg,https://www.geonames.org/2879139,https://www.geonames.org/7303020,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4066640-2,1793-10-16,zweite Oktoberhälfte 1793,,,,https://briefe-der-romantik.de/letters/view/15078?left=text
15079,erste Novemberhälfte 1793,Caroline von Schelling,Friedrich von Schlegel,Lucka,Leipzig,https://www.geonames.org/2875512,https://www.geonames.org/2879139,https://d-nb.info/gnd/4263805-7,https://d-nb.info/gnd/4035206-7,1793-11-01,erste Novemberhälfte 1793,,,,https://briefe-der-romantik.de/letters/view/15079?left=text
15080,"Donnerstag,  5. Dezember 1793",Caroline von Schelling,Friedrich von Schlegel,Lucka,Leipzig,https://www.geonames.org/2875512,https://www.geonames.org/2879139,https://d-nb.info/gnd/4263805-7,https://d-nb.info/gnd/4035206-7,1793-12-05,1793-12-05,,,,https://briefe-der-romantik.de/letters/view/15080?left=text
15081,Herbst/Winter 1793–1794,Dorothea von Schlegel,Rahel Varnhagen,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/2004272-3,1793-09-22,Herbst/Winter 1793–1794,,,,https://briefe-der-romantik.de/letters/view/15081?left=text
15082,Herbst/Winter 1793–1794,Dorothea von Schlegel,Rahel Varnhagen,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/2004272-3,1793-09-22,Herbst/Winter 1793–1794,,,,https://briefe-der-romantik.de/letters/view/15082?left=text
15083,Herbst/Winter 1793–1794,Dorothea von Schlegel,Rahel Varnhagen,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/2004272-3,1793-09-22,Herbst/Winter 1793–1794,,,,https://briefe-der-romantik.de/letters/view/15083?left=text
15084,Herbst/Winter 1793–1794,Dorothea von Schlegel,Rahel Varnhagen,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/2004272-3,1793-09-22,Herbst/Winter 1793–1794,,,,https://briefe-der-romantik.de/letters/view/15084?left=text
15085,Herbst/Winter 1793–1794,Dorothea von Schlegel,Rahel Varnhagen,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/2004272-3,1793-09-22,Herbst/Winter 1793–1794,,,,https://briefe-der-romantik.de/letters/view/15085?left=text
15086,Herbst/Winter 1793–1794,Dorothea von Schlegel,Rahel Varnhagen,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/2004272-3,1793-09-22,Herbst/Winter 1793–1794,,,,https://briefe-der-romantik.de/letters/view/15086?left=text
15087,"Sonntag, 26. Januar 1794",Dorothea von Schlegel,Carl Gustav von Brinckmann,Berlin,Berlin,https://www.geonames.org/2950159,https://www.geonames.org/2950159,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/2004272-3,1794-01-26,1794-01-26,,,,https://briefe-der-romantik.de/letters/view/15087?left=text
