Date,Sender,Recipient,Place of Dispatch,Place of Destination,Dispatch_GeoNames,Destination_GeoNames,link
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/48?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/49?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/50?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/51?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/52?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/53?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/54?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/55?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/56?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/57?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/58?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/59?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/60?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/61?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/62?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/63?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/64?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/65?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/66?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/67?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/68?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/69?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/70?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/71?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/72?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/73?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/74?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/75?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/76?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/77?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/78?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/79?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/80?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/81?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/82?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/83?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/84?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/85?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/86?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/87?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/88?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/89?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/90?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/91?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/92?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/93?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/94?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/95?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/96?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/97?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/98?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/99?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/100?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/101?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/102?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/103?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/104?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/105?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/106?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/107?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/108?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/109?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/110?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/111?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/112?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/113?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/114?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/115?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/116?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/117?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/118?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/119?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/120?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/121?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/122?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/123?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/124?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/125?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/126?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/127?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/128?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/129?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/130?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/131?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/132?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/133?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/134?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/135?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/136?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/137?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/138?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/139?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/140?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/141?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/142?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/143?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/144?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/145?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/146?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/147?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/148?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/149?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/150?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/151?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/152?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/153?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/154?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/155?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/156?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/157?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/158?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/159?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/160?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/161?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/162?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/163?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/164?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/165?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/166?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/167?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/168?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/169?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/170?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/171?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/172?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/173?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/174?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/175?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/176?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/177?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/178?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/179?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/180?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/181?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/182?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/183?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/184?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/185?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/186?left=text&query_id=6773ee556fe85
